,label,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,time
90,5,198.0,528.070707070707,452.7929292929293,519,447,537,462,11
91,6,211.0,528.1990521327015,670.8862559241707,520,663,536,680,11
92,7,205.0,534.4731707317073,641.4975609756098,527,633,544,649,11
93,8,309.0,553.168284789644,640.7087378640776,543,632,567,650,11
94,1,109.0,3.522935779816514,46.944954128440365,0,38,9,57,12
95,2,437.0,48.75743707093822,105.5400457665904,37,95,60,119,12
96,3,208.0,62.29326923076923,328.72596153846155,56,320,71,339,12
97,4,227.0,118.61233480176212,311.6740088105727,111,304,127,320,12
98,5,372.0,150.56720430107526,262.997311827957,138,255,163,274,12
99,6,248.0,181.94354838709677,273.65725806451616,175,265,191,285,12
100,7,44.0,222.1818181818182,333.0681818181818,218,328,229,341,12
101,8,345.0,462.2086956521739,727.6782608695652,456,712,472,743,12
102,9,468.0,513.5448717948718,371.7393162393162,503,358,525,389,12
103,10,463.0,516.1425485961123,603.9179265658747,504,591,528,619,12
104,11,156.0,516.2564102564103,438.69871794871796,510,432,523,448,12
105,1,412.0,337.94174757281553,243.45388349514562,328,228,347,261,13
106,2,327.0,391.68195718654437,707.9938837920489,384,696,400,720,13
107,3,161.0,479.5776397515528,746.4037267080745,471,742,489,752,13
108,4,168.0,486.98809523809524,644.8095238095239,479,640,496,651,13
109,1,282.0,6.365248226950355,41.858156028368796,0,30,16,55,14
110,2,554.0,49.7057761732852,95.75992779783394,33,81,63,110,14
111,3,262.0,494.9236641221374,620.7480916030535,482,615,507,629,14
112,4,278.0,519.1079136690647,536.0143884892086,511,527,529,546,14
113,5,222.0,545.4549549549549,213.84684684684686,538,205,553,224,14
114,6,120.0,570.45,710.8833333333333,566,701,576,721,14
115,1,261.0,6.045977011494253,37.984674329501914,0,26,15,50,15
116,2,210.0,21.404761904761905,117.9047619047619,14,111,32,128,15
117,3,308.0,39.36038961038961,245.96103896103895,27,237,51,258,15
118,4,200.0,49.075,227.95,39,223,63,234,15
119,5,324.0,360.30864197530866,389.6388888888889,350,375,369,402,15
120,6,309.0,399.57928802589,735.588996763754,390,727,410,745,15
121,7,506.0,441.3201581027668,456.7292490118577,428,445,456,474,15
122,8,343.0,465.0408163265306,445.3615160349854,455,435,475,457,15
123,9,360.0,485.575,696.8944444444444,476,687,497,708,15
124,10,289.0,495.9550173010381,726.7612456747405,486,718,506,737,15
125,11,285.0,511.11929824561406,743.1087719298246,503,735,521,753,15
126,12,361.0,518.6537396121884,563.3047091412742,510,552,528,576,15
127,13,201.0,525.8557213930349,710.4477611940298,519,703,536,721,15
128,1,180.0,214.54444444444445,294.94444444444446,208,288,223,304,16
129,2,514.0,222.27237354085602,609.964980544747,210,596,235,626,16
130,3,292.0,233.62328767123287,406.4554794520548,224,396,242,419,16
131,4,196.0,400.64285714285717,330.4540816326531,391,325,412,336,16
132,5,184.0,455.29891304347825,760.1141304347826,447,753,464,768,16
133,6,152.0,467.39473684210526,720.0986842105264,463,711,474,730,16
134,7,296.0,478.375,170.05405405405406,469,161,489,182,16
135,8,200.0,483.58,704.115,478,695,492,715,16
136,9,436.0,518.4724770642201,188.0619266055046,510,173,529,203,16
137,10,194.0,518.6494845360825,676.7938144329897,511,671,528,685,16
138,11,477.0,540.1320754716982,644.0398322851153,526,631,553,658,16
139,12,706.0,543.943342776204,536.3186968838527,527,522,563,552,16
140,13,290.0,536.2931034482758,704.596551724138,527,695,545,715,16
141,14,174.0,576.1379310344828,732.4827586206897,572,720,580,750,16
142,1,481.0,110.72557172557173,349.23700623700626,96,337,126,364,17
143,2,266.0,239.96616541353384,256.5563909774436,232,248,250,268,17
144,3,514.0,262.46692607003894,33.09143968871595,245,24,282,45,17
